batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygXjJxV4958zV3kz19qy4
1224832	1224832_23153_0_0.cram	1224832_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyzJjJXPQBXXQZ3kp07Qvz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyzJjJXPQByB9v3jV38kGP
1224854	1224854_23153_0_0.cram	1224854_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4J30Jf409PxkG3k8v76K4	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4J30Jf40B2P0F3P9JY3kp
1224897	1224897_23153_0_0.cram	1224897_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZ40J2X9BXXQZ3kp077Fk	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZ1jJ2X93y25J9XJb5BZv
1224937	1224937_23153_0_0.cram	1224937_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyjJ0Jk49kXYqQ3jxxKQQJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyj90Jk49QjKFZ3jf5Qb6J
1224951	1224951_23153_0_0.cram	1224951_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZVQJ3ZpYy9vZ3kP6jgpb	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxZV8J3Zpf4Zg33jJkfpqX
1224984	1224984_23153_0_0.cram	1224984_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPZQJvyFQzQ6f737bXYY0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPZQJvyFfQX8B3kyz0xvQ
1224992	1224992_23153_0_0.cram	1224992_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvg9QJ2vgvJ1Bv3jzp04zG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvg8jJ2vgjzFQF3jG6z7VQ
1225009	1225009_23153_0_0.cram	1225009_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz22QJY52yxx324vBY13Yv	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz228JY52j4gBb3kQYGvpf
1225017	1225017_23153_0_0.cram	1225017_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf50KjJ5yyQ05Q332gPb42J	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf50JjJ5yypPb85K6yJ0q58
1225046	1225046_23153_0_0.cram	1225046_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf42qjJ7GjPzFk0PvKKPX0V	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf42q8J7GjFX08fG45vP365
1225063	1225063_23153_0_0.cram	1225063_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yx0Jz6ZxQqfk3jJYXF1k	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3yvQJz6ZQyB833kVXBPYG
1225080	1225080_23153_0_0.cram	1225080_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8KQJYq85j06Y3jy23JJ7	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8JjJYq8286YP7ZVP4KJq
1225091	1225091_23153_0_0.cram	1225091_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfJFX0JbGQJ4fZPF8P5X1xG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FyfJFVjJbGQB2P0F3P9JZk9k
1225114	1225114_23153_0_0.cram	1225114_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8b8J3G283pf33jvJv4K2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx8ZQJ3G28zFQF3jG6zB7j
1225139	1225139_23153_0_0.cram	1225139_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0b60J9fxFX08fG45vKfbx	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf0b60J9fx0ZfJQ3kvV81X2
1225171	1225171_23153_0_0.cram	1225171_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf43FjJz6ZkPxkG3k8v73zg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf43F8Jz6Zkb4843jZpXy36
1225195	1225195_23153_0_0.cram	1225195_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4GBjJpyVb7v96P5VP87f7	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4GBjJpyVqJqj13pX3v7v6
1225236	1225236_23153_0_0.cram	1225236_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5kjJ051Kxx324vBY0fqQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx5f8J051BPb85K6yGzZZ1
