batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1200019	1200019_23153_0_0.cram	1200019_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYP8J299GXqY33k9G3bxF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYP0J29993V1V3jZGF5xJ
1200078	1200078_23153_0_0.cram	1200078_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4JJjJx20GXqY33k9G4Jkq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf4JJ0Jx200ZfJQ3kvV8Kpv
1200087	1200087_23153_0_0.cram	1200087_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxjjJKy16bJq23kb8zpZf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxxjjJKy1JJ1YV3jzqYyPq
1200131	1200131_23153_0_0.cram	1200131_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0g0J4GY9g7P43kGQX7QY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0fQJ4GYFJqj13pX3q55z
1200147	1200147_23153_0_0.cram	1200147_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxXBQJ3ZpgJ5pq6gy771b7	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxX50J3ZpfQX8B3kyz0gV7
1200173	1200173_23153_0_0.cram	1200173_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxj0J5p69g7P43kGQX74z	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvxj0J5p6P6V3k3kzV0Zgy
1200200	1200200_23153_0_0.cram	1200200_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxK4jJ3Zpx9g6y3jJvf8Vg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxJz8J3ZpgqjfP3kgKPP1x
1200213	1200213_23153_0_0.cram	1200213_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvp6QJP4fzgyZ03jF78yV0	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvp68JP4fz6V3k3kzV0Z3J
1200276	1200276_23153_0_0.cram	1200276_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybybz0JFYfkXYqQ3jxxKPy1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyf40JFYfpff0VBBxFXybp
1200281	1200281_23153_0_0.cram	1200281_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPzQJ051K7Jp68g0XVx4b	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPz8J051G9ky93jF7Y5k2
1200297	1200297_23153_0_0.cram	1200297_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG90J06zJ9g6y3jJvfP2p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyG8jJ06z5j06Y3jy23ZKq
1200305	1200305_23153_0_0.cram	1200305_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5x0J51Z9b4843jZpXKqg	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz5vQJ51Z6QX8B3kyz152G
1200318	1200318_23153_0_0.cram	1200318_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1P0JjQXxQqfk3jJYVGXY	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx1P0JjQXpyB9v3jV38FFP
1200366	1200366_23153_0_0.cram	1200366_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXXQJ5V07J5pq6gy76vYF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvXXQJ5V0FPjGp3jKQxXZx
1200379	1200379_23153_0_0.cram	1200379_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJ9jJbBKB2P0F3P9JVpqz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJ90JbBKBXXQZ3kp07GY1
1200408	1200408_23153_0_0.cram	1200408_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3vQQJ7YXf5Yx53k17G00x	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf3vQ8J7YXQzQ6f737bY8QV
1200427	1200427_23153_0_0.cram	1200427_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPQQJKgVvfQGY3jj1fFq8	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxPQQJKgVQ5xP83jXBJVzp
1200439	1200439_23153_0_0.cram	1200439_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxfx0J3xk3y9vZ3kP6jj74	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybxfx0J3xk965763jfjykbv
1200440	1200440_23153_0_0.cram	1200440_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf6F5QJF1Ypff0VBBxFZ4ZG	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf6F58JF1YQjKFZ3jf5VjVx
