batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
TCGA-DX-A7ER-10A-01D-A36M-09_gdc_realn	TCGA-DX-A7ER-10A-01D-A36M-09_gdc_realn.bam	TCGA-DX-A7ER-10A-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYpgjJxy583qQX04y4xG0F	project-G428g40Jf312vx5727kY9KXZ:file-G8BYq10Jxy5273YkFkBfzV2p
TCGA-DX-A6Z0-10B-01D-A36M-09_gdc_realn	TCGA-DX-A6Z0-10B-01D-A36M-09_gdc_realn.bam	TCGA-DX-A6Z0-10B-01D-A36M-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B82PQJ9V4KF4pz04qQYBPg	project-G428g40Jf312vx5727kY9KXZ:file-G8B82f0J9V410pqQ4v2Z6vgx
TCGA-DX-A6YX-10B-01D-A41A-09_gdc_realn	TCGA-DX-A6YX-10B-01D-A41A-09_gdc_realn.bam	TCGA-DX-A6YX-10B-01D-A41A-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B9GZ8Jy91p7G1yBqJJGQBY	project-G428g40Jf312vx5727kY9KXZ:file-G8B9GvQJy91yV2BvFkV9gv1z
TCGA-DX-A6YQ-10A-01D-A33H-09_gdc_realn	TCGA-DX-A6YQ-10A-01D-A33H-09_gdc_realn.bam	TCGA-DX-A6YQ-10A-01D-A33H-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7zg0JVKB5686p3zjqYvfv	project-G428g40Jf312vx5727kY9KXZ:file-G8B7zx0JVKBP06KPFk32pfp5
TCGA-DX-A48N-10A-01D-A307-09_gdc_realn	TCGA-DX-A48N-10A-01D-A307-09_gdc_realn.bam	TCGA-DX-A48N-10A-01D-A307-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYXfQJ32zP06KPFk32zKQz	project-G428g40Jf312vx5727kY9KXZ:file-G8BYXqQJ32z56qfYBqG3f5XJ
TCGA-DX-A48L-10A-01D-A307-09_gdc_realn	TCGA-DX-A48L-10A-01D-A307-09_gdc_realn.bam	TCGA-DX-A48L-10A-01D-A307-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7pvjJfjqk9x9jFggq0Bqq	project-G428g40Jf312vx5727kY9KXZ:file-G8B7q18JfjqV5Xp88YvG1KV0
TCGA-DX-A3UE-10A-01D-A307-09_gdc_realn	TCGA-DX-A3UE-10A-01D-A307-09_gdc_realn.bam	TCGA-DX-A3UE-10A-01D-A307-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B82jjJz1kk9x9jFggq0FGk	project-G428g40Jf312vx5727kY9KXZ:file-G8B82xQJz1kg2YyB2Z2B1xj5
TCGA-DX-A3UC-10A-01D-A307-09_gdc_realn	TCGA-DX-A3UC-10A-01D-A307-09_gdc_realn.bam	TCGA-DX-A3UC-10A-01D-A307-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7g08JqbP77gz6Fk0KY55Y	project-G428g40Jf312vx5727kY9KXZ:file-G8B7g48JqbP1k3BbG1KjpjPF
TCGA-DX-A3UB-10A-01D-A307-09_gdc_realn	TCGA-DX-A3UB-10A-01D-A307-09_gdc_realn.bam	TCGA-DX-A3UB-10A-01D-A307-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7g20JB6gkQJ0jBqk4k6Qv	project-G428g40Jf312vx5727kY9KXZ:file-G8B7g60JB6ggqGVy8Vb0Bq98
TCGA-DX-A2J0-10A-01D-A21Q-09_gdc_realn	TCGA-DX-A2J0-10A-01D-A21Q-09_gdc_realn.bam	TCGA-DX-A2J0-10A-01D-A21Q-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7pK0J5B6g7gz6Fk0KY66q	project-G428g40Jf312vx5727kY9KXZ:file-G8B7pY0J5B6g8p163zZjF347
TCGA-DX-A1KZ-10A-01D-A24N-09_gdc_realn	TCGA-DX-A1KZ-10A-01D-A24N-09_gdc_realn.bam	TCGA-DX-A1KZ-10A-01D-A24N-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7j8QJGbq7YqKQ04qJf3Jj	project-G428g40Jf312vx5727kY9KXZ:file-G8B7jPQJGbq6KxbZ3kqP43z6
TCGA-DS-A5RQ-10A-01D-A28E-09_gdc_realn	TCGA-DS-A5RQ-10A-01D-A28E-09_gdc_realn.bam	TCGA-DS-A5RQ-10A-01D-A28E-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8XyQJQxPBK6FzFgzqZxP0	project-G428g40Jf312vx5727kY9KXZ:file-G8B8Y4QJQxP67yJP8XQ2FJZ5
TCGA-DI-A1BY-10A-01D-A135-09_gdc_realn	TCGA-DI-A1BY-10A-01D-A135-09_gdc_realn.bam	TCGA-DI-A1BY-10A-01D-A135-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7jk0JBkxj3qQX04y4fVVQ	project-G428g40Jf312vx5727kY9KXZ:file-G8B7k0QJBkxyV2BvFkV9gXf4
TCGA-DG-A2KK-10A-01D-A17W-09_gdc_realn	TCGA-DG-A2KK-10A-01D-A17W-09_gdc_realn.bam	TCGA-DG-A2KK-10A-01D-A17W-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYp1QJ9gx7YqKQ04qJqX18	project-G428g40Jf312vx5727kY9KXZ:file-G8BYp98J9gx3qBVQ8VJZgVbQ
TCGA-DG-A2KH-10A-01D-A22X-09_gdc_realn	TCGA-DG-A2KH-10A-01D-A22X-09_gdc_realn.bam	TCGA-DG-A2KH-10A-01D-A22X-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8QKjJp1v504qj3kqpqyqj	project-G428g40Jf312vx5727kY9KXZ:file-G8B8QZQJp1v1j07k3kGZVQzz
TCGA-DF-A2L0-10A-01D-A17W-09_gdc_realn	TCGA-DF-A2L0-10A-01D-A17W-09_gdc_realn.bam	TCGA-DF-A2L0-10A-01D-A17W-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B8g3QJp1j56yp2G1Q8qzFz	project-G428g40Jf312vx5727kY9KXZ:file-G8B8g8QJp1j273YkFkBfqP1B
TCGA-DF-A2KY-10A-01D-A20S-09_gdc_realn	TCGA-DF-A2KY-10A-01D-A20S-09_gdc_realn.bam	TCGA-DF-A2KY-10A-01D-A20S-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BYGF0Jz5X1j07k3kGZfGFf	project-G428g40Jf312vx5727kY9KXZ:file-G8BYGX0Jz5X0xz4V3yxfGpX8
TCGA-DF-A2KS-10A-01D-A18P-09_gdc_realn	TCGA-DF-A2KS-10A-01D-A18P-09_gdc_realn.bam	TCGA-DF-A2KS-10A-01D-A18P-09_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8B7f5jJP7y56Jx38gQXyZk4	project-G428g40Jf312vx5727kY9KXZ:file-G8B7fV0JP7y8y19F3kyBKJ9x
