TCGA-ZP-A9CV-10B-01D-A385-10_Illumina_gdc_realn	TCGA-ZP-A9CV-10B-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZP-A9CV-10B-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8vjJQ8JPG8VX8jKV4BP5	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ978JQ8J3pVvKG30PPjPj
TCGA-ZP-A9D4-10A-01D-A370-10_Illumina_gdc_realn	TCGA-ZP-A9D4-10A-01D-A370-10_Illumina_gdc_realn.bam	TCGA-ZP-A9D4-10A-01D-A370-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8vQJ1y73qBVQ8VJZZy4b	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ968J1y7K94Qj3kzQ2GJ0
TCGA-YU-A90P-10A-01D-A438-10_Illumina_gdc_realn	TCGA-YU-A90P-10A-01D-A438-10_Illumina_gdc_realn.bam	TCGA-YU-A90P-10A-01D-A438-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8xjJZpBvF2Y12XF4k4K3	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ958JZpBgzBzY8gK00XKY
TCGA-ZP-A9CZ-10A-01D-A385-10_Illumina_gdc_realn	TCGA-ZP-A9CZ-10A-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZP-A9CZ-10A-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8pjJ3VgxQ6274p9004Bq	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ950J3VgxQ6274p9004FK
TCGA-ZS-A9CF-10A-01D-A385-10_Illumina_gdc_realn	TCGA-ZS-A9CF-10A-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZS-A9CF-10A-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8p8JxGpjB2pq3zX0BbQV	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ94QJxGpx00FfPzy1bvVB
TCGA-ZP-A9D1-10B-01D-A385-10_Illumina_gdc_realn	TCGA-ZP-A9D1-10B-01D-A385-10_Illumina_gdc_realn.bam	TCGA-ZP-A9D1-10B-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8j8Jyj3pV8FxGZGb31yP	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ930Jyj3yk8zV4p5P6yKK
TCGA-ZS-A9CE-10A-01D-A370-10_Illumina_gdc_realn	TCGA-ZS-A9CE-10A-01D-A370-10_Illumina_gdc_realn.bam	TCGA-ZS-A9CE-10A-01D-A370-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8kQJ2VB7YqKQ04qJgjyJ	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ91jJ2VB78p163zZjJG8y
C500.TCGA-ZF-AA56-10A-01D-A394-08.1_gdc_realn	C500.TCGA-ZF-AA56-10A-01D-A394-08.1_gdc_realn.bam	C500.TCGA-ZF-AA56-10A-01D-A394-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8j8Jxv0yV2BvFkV9j973	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8y0Jxv0b6yp2G1Q8yfkv
C500.TCGA-ZF-A9RE-10A-01D-A38J-08.2_gdc_realn	C500.TCGA-ZF-A9RE-10A-01D-A38J-08.2_gdc_realn.bam	C500.TCGA-ZF-A9RE-10A-01D-A38J-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8bQJK9zz06KPFk32ygQq	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8q8JK9zX73YkFkBfyp84
C500.TCGA-ZF-AA53-10A-01D-A394-08.2_gdc_realn	C500.TCGA-ZF-AA53-10A-01D-A394-08.2_gdc_realn.bam	C500.TCGA-ZF-AA53-10A-01D-A394-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8VQJyy7kK77JG2jfbjZ1	project-G428g40Jf312vx5727kY9KXZ:file-G8BJ8fjJyy7pK6FzFgzqjxGv
