batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
C529.TCGA-V1-A8MU-10A-01D-A37A-08.1_gdc_realn	C529.TCGA-V1-A8MU-10A-01D-A37A-08.1_gdc_realn.bam	C529.TCGA-V1-A8MU-10A-01D-A37A-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFfbQJ5g91k3BbG1KjvG3j	project-G428g40Jf312vx5727kY9KXZ:file-G8BFfqQJ5g9GF2Y12XF4gjjj
C440.TCGA-VQ-AA6A-10A-01D-A413-08.1_gdc_realn	C440.TCGA-VQ-AA6A-10A-01D-A413-08.1_gdc_realn.bam	C440.TCGA-VQ-AA6A-10A-01D-A413-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFYgQJxXXg2YyB2Z2B3Pp8	project-G428g40Jf312vx5727kY9KXZ:file-G8BFYqjJxXXx1Fgx2XGjfFj9
C1760.TCGA-VD-A8KE-10A-01D-A39Z-08.1_gdc_realn	C1760.TCGA-VD-A8KE-10A-01D-A39Z-08.1_gdc_realn.bam	C1760.TCGA-VD-A8KE-10A-01D-A39Z-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQ48JFXgj3qQX04y4p135	project-G428g40Jf312vx5727kY9KXZ:file-G8BFQ8jJFXgZJ261FjxxZVJX
TCGA-RQ-AAAT-10A-01D-A38X-10_Illumina_gdc_realn	TCGA-RQ-AAAT-10A-01D-A38X-10_Illumina_gdc_realn.bam	TCGA-RQ-AAAT-10A-01D-A38X-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFF10JZ64V3fpJG2vv95v7	project-G428g40Jf312vx5727kY9KXZ:file-G8BFFG0JZ64gJ3GyPzj6PF9Z
TCGA-UZ-A9PL-10A-01D-A385-10_Illumina_gdc_realn	TCGA-UZ-A9PL-10A-01D-A385-10_Illumina_gdc_realn.bam	TCGA-UZ-A9PL-10A-01D-A385-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BFBQQJ4gpVj07k3kGZYbv5	project-G428g40Jf312vx5727kY9KXZ:file-G8BFBjQJ4gpzxFBvPzg7qP7F
C494.TCGA-TM-A7CF-10A-01D-A329-08.1_gdc_realn	C494.TCGA-TM-A7CF-10A-01D-A329-08.1_gdc_realn.bam	C494.TCGA-TM-A7CF-10A-01D-A329-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF9zjJB4pb04qj3kqpzvxZ	project-G428g40Jf312vx5727kY9KXZ:file-G8BFB50JB4pvF2Y12XF4gjKx
TCGA-SX-A7SU-10A-01D-A35Z-10_Illumina_gdc_realn	TCGA-SX-A7SU-10A-01D-A35Z-10_Illumina_gdc_realn.bam	TCGA-SX-A7SU-10A-01D-A35Z-10_Illumina_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF8vjJBfyb6Jx38gQXzZvq	project-G428g40Jf312vx5727kY9KXZ:file-G8BF938JBfypJg8zBv29YyvX
C440.TCGA-R5-A7ZF-10A-01D-A34X-08.1_gdc_realn	C440.TCGA-R5-A7ZF-10A-01D-A34X-08.1_gdc_realn.bam	C440.TCGA-R5-A7ZF-10A-01D-A34X-08.1_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF7JQJbZYpK6FzFgzqfBqj	project-G428g40Jf312vx5727kY9KXZ:file-G8BF7XjJbZYgzBzY8gKPz7P4
C1760.TCGA-VD-AA8Q-10A-01D-A39Z-08.2_gdc_realn	C1760.TCGA-VD-AA8Q-10A-01D-A39Z-08.2_gdc_realn.bam	C1760.TCGA-VD-AA8Q-10A-01D-A39Z-08.2_gdc_realn.bai	project-G428g40Jf312vx5727kY9KXZ:file-G8BF6Z8Jgpy13fpJG2vv95p0	project-G428g40Jf312vx5727kY9KXZ:file-G8BF6kQJgpy3qBVQ8VJZZ6QG
