batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1013576	1013576_23153_0_0.cram	1013576_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy78Jjy6xQqfk3jJYVp38	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybyy6jJjy6pff0VBBxFY0QG
1013608	1013608_23153_0_0.cram	1013608_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz2g8Jz5JX86YP7ZVP4v9p	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz2g8Jz5JkXYqQ3jxxKY4G
1013640	1013640_23153_0_0.cram	1013640_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz78jJPZX3y25J9XJb5byF	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybz78QJPZX65Yx53k17FPjq
1013662	1013662_23153_0_0.cram	1013662_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpgjJ0517qjfP3kgKPVYJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpgQJ051JQqfk3jJYVV5k
1013782	1013782_23153_0_0.cram	1013782_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5b0J36PJ1vFb3k48gQxz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby5ZjJ36P88X51FVq6QYj0
1013798	1013798_23153_0_0.cram	1013798_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0qQJ743f4Zg33jJkfgXZ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybx0QjJ743XKg6V3jYvqBqy
1013830	1013830_23153_0_0.cram	1013830_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvqP0Jb5x36fz03jJVbpv2	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fybvqk0Jb5x9b4843jZpVvbg
1013864	1013864_23153_0_0.cram	1013864_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfXQJ47336fz03jJVbp51	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvfV0J47388X51FVq6QBjQ
1013896	1013896_23153_0_0.cram	1013896_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ7QJYVJjzFQF3jG6zFYz	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxQ5QJYVJfX5613kgxG7PY
1013945	1013945_23153_0_0.cram	1013945_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypgQJF0Z0ZfJQ3kvV7qKq	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybypgQJF0Z1Jx4y3kq3y43B
