batch ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam ID	stage-G4Q4Pk8J6XGFjX9F3xfbg8Qv.bam_index ID
1950455	1950455_23153_0_0.cram	1950455_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby96QJQ4b0zQ6f737bXXPB	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby960JQ4bJQqfk3jJYVZ19
1950460	1950460_23153_0_0.cram	1950460_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyK18J5jgfQX8B3kyz0xf1	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJQQJ5jgpZkpz3kYVK4x4
1950478	1950478_23153_0_0.cram	1950478_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQVjJpgK7J5pq6gy7784Y	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyQQjJpgKG4jfV3jbZZBVK
1950487	1950487_23153_0_0.cram	1950487_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvqJjJK0ZxQqfk3jJYVFVQ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybvqB8JK0Zy7Jp68g0XVkxQ
1950493	1950493_23153_0_0.cram	1950493_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpKjJZYjJ9g6y3jJvfF41	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybxpJQJZYj0yB833kVX9Yxy
1950528	1950528_23153_0_0.cram	1950528_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygFQJ8fp9b4843jZpX7y9	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybygBQJ8fpBXXQZ3kp07Kpb
1950535	1950535_23153_0_0.cram	1950535_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf51G0J0Z90yB833kVXBj69	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf51FjJ0Z99b4843jZpY6gk
1950556	1950556_23153_0_0.cram	1950556_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYQ8JG5QbVfK43k0bF4yj	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyYPjJG5QqX08fG45vKFpx
1950572	1950572_23153_0_0.cram	1950572_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPy0Jfz4Qjz7g3jJVVg37	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyPy0Jfz4QjKFZ3jf5QYJp
1950599	1950599_23153_0_0.cram	1950599_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5QF0Jx14Kgz4q3jyq5kQf	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyf5QB8Jx14G4jfV3jbZbVY3
1950629	1950629_23153_0_0.cram	1950629_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9BjJ2bqX86YP7ZVP4fBK	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-Fyby9BQJ2bqx9g6y3jJvfKQf
1950650	1950650_23153_0_0.cram	1950650_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyK80J7QYB2P0F3P9JVpzV	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyJy0J7QY83pf33jvJvGZ3
1950673	1950673_23153_0_0.cram	1950673_23153_0_0.cram.crai	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyFg0J6Q5G9ky93jF7YFVJ	project-G3Yj1vjJ6XG579jbKyjXPGGY:file-FybyFG8J6Q5P6V3k3kzV0xX5
